slot,cost(ms)
1,34
2,7
3,5
4,10
5,7
6,8
7,9
8,7
9,7
10,6
11,6
12,9
13,8
14,6
15,9
16,8
17,5
18,6
19,8
20,6
21,6
22,8
23,7
24,8
25,8
26,6
27,10
28,6
29,6
30,7
31,7
32,8
33,8
34,5
35,7
36,6
37,9
38,8
39,8
40,9
41,8
42,7
43,7
44,6
45,9
46,8
47,8
48,7
49,6
50,6
51,6
52,6
53,8
54,6
55,6
56,7
57,6
58,7
59,6
60,6
61,7
62,8
63,6
64,6
65,7
66,5
67,7
68,5
69,7
70,6
71,7
72,5
73,7
74,7
75,7
76,6
77,7
78,5
79,6
80,5
81,7
82,6
83,6
84,10
85,6
86,6
87,7
88,7
89,8
90,6
91,7
92,8
93,7
94,5
95,5
96,5
97,6
98,6
99,8
100,5
101,8
102,5
103,6
104,6
105,6
106,6
107,6
108,5
109,6
110,8
111,6
112,9
113,9
114,5
115,5
116,7
117,7
118,6
119,6
120,5
121,7
122,7
123,6
124,6
125,5
126,7
127,6
128,7
129,6
130,6
131,6
132,8
133,9
134,7
135,6
136,7
137,6
138,7
139,7
140,7
141,5
142,5
143,8
144,8
145,6
146,6
147,6
148,9
149,8
150,10
151,6
152,5
153,6
154,6
155,8
156,5
157,6
158,6
159,8
160,5
161,5
162,9
163,6
164,5
165,5
166,6
167,7
168,6
169,7
170,9
171,13
172,7
173,5
174,7
175,6
176,5
177,7
178,11
179,11
180,7
181,6
182,6
183,7
184,6
185,6
186,8
187,7
188,6
189,7
190,6
191,5
192,5
193,6
194,8
195,5
196,7
197,7
198,5
199,8
200,5
201,7
202,8
203,7
204,6
205,7
206,6
207,6
208,7
209,8
210,6
211,6
212,7
213,5
214,8
215,8
216,6
217,6
218,6
219,7
220,5
221,9
222,5
223,6
224,5
225,5
226,5
227,6
228,6
229,7
230,8
231,6
232,7
233,6
234,9
235,7
236,7
237,6
238,5
239,6
240,7
241,7
242,5
243,5
244,7
245,8
246,5
247,5
248,7
249,8
250,6
251,6
252,8
253,7
254,7
255,6
256,6
257,5
258,6
259,7
260,7
261,6
262,7
263,7
264,9
265,10
266,6
267,6
268,7
269,6
270,15
271,7
272,9
273,5
274,7
275,8
276,7
277,8
278,5
279,8
280,6
281,6
282,6
283,6
284,6
285,5
286,7
287,6
288,6
289,5
290,6
291,5
292,9
293,6
294,9
295,6
296,8
297,6
298,6
299,8
