slot,cost(ms)
1,35
2,7
3,5
4,7
5,7
6,6
7,7
8,7
9,9
10,6
11,7
12,7
13,6
14,9
15,7
16,7
17,5
18,8
19,8
20,7
21,9
22,7
23,6
24,9
25,7
26,8
27,7
28,7
29,7
30,8
31,7
32,9
33,6
34,7
35,6
36,10
37,6
38,7
39,6
40,7
41,6
42,7
43,6
44,6
45,8
46,7
47,9
48,6
49,6
50,7
51,7
52,8
53,8
54,5
55,5
56,15
57,6
58,6
59,7
60,7
61,6
62,6
63,7
64,6
65,7
66,7
67,7
68,7
69,5
70,6
71,7
72,5
73,11
74,7
75,8
76,6
77,7
78,7
79,6
80,6
81,6
82,5
83,6
84,6
85,9
86,5
87,5
88,8
89,6
90,6
91,5
92,7
93,5
94,6
95,8
96,7
97,5
98,8
99,5
100,7
101,8
102,6
103,7
104,6
105,7
106,6
107,5
108,7
109,5
110,5
111,8
112,5
113,6
114,6
115,7
116,5
117,5
118,6
119,5
120,6
121,6
122,7
123,6
124,8
125,7
126,6
127,6
128,6
129,5
130,7
131,5
132,7
133,6
134,6
135,6
136,8
137,7
138,7
139,6
140,5
141,6
142,5
143,5
144,6
145,11
146,8
147,8
148,9
149,5
150,6
151,6
152,6
153,10
154,8
155,5
156,7
157,7
158,5
159,7
160,4
161,6
162,5
163,6
164,10
165,9
166,6
167,7
168,7
169,8
170,5
171,7
172,6
173,9
174,7
175,5
176,7
177,6
178,6
179,6
180,8
181,6
182,6
183,6
184,7
185,5
186,6
187,6
188,9
189,6
190,7
191,6
192,6
193,7
194,6
195,5
196,6
197,8
198,7
199,8
200,7
201,7
202,7
203,6
204,7
205,10
206,6
207,6
208,7
209,7
210,7
211,5
212,6
213,6
214,7
215,6
216,8
217,10
218,7
219,6
220,5
221,9
222,6
223,5
224,6
225,5
226,6
227,7
228,9
229,6
230,7
231,7
232,10
233,6
234,5
235,7
236,8
237,7
238,5
239,8
240,5
241,5
242,5
243,6
244,7
245,5
246,8
247,6
248,7
249,7
250,9
251,8
252,6
253,6
254,7
255,6
256,5
257,6
258,6
259,7
260,6
261,8
262,8
263,5
264,7
265,6
266,6
267,6
268,6
269,6
270,5
271,6
272,8
273,6
274,5
275,5
276,7
277,5
278,7
279,5
280,7
281,6
282,6
283,5
284,5
285,6
286,5
287,7
288,9
289,7
290,5
291,6
292,7
293,6
294,7
295,7
296,7
297,8
298,7
299,8
300,10
301,6
302,8
303,6
304,5
305,6
306,11
307,5
308,8
309,7
310,7
311,7
312,8
313,7
314,7
315,6
316,7
317,7
318,6
319,8
320,6
321,6
322,14
323,6
324,6
325,6
326,6
327,7
328,7
329,5
330,7
331,6
332,6
333,6
334,6
335,8
336,7
337,7
338,8
339,8
340,7
341,9
342,8
343,5
344,8
345,6
346,6
347,7
348,7
349,6
350,7
351,6
352,6
353,8
354,5
355,8
356,7
357,8
358,7
359,8
360,10
361,6
362,6
363,6
364,7
365,7
366,10
367,6
368,7
369,6
370,6
371,6
372,7
373,6
374,7
375,6
376,7
377,5
378,6
379,6
380,6
381,7
382,7
383,7
384,6
385,8
386,7
387,6
388,8
389,5
390,7
391,6
392,8
393,7
394,6
395,6
396,6
397,5
398,5
399,7
400,6
401,7
402,9
403,9
404,10
405,7
406,6
407,6
408,8
409,8
410,6
411,6
412,7
413,6
414,6
415,7
416,5
417,7
418,6
419,7
420,6
421,7
422,7
423,7
424,6
425,6
426,8
427,7
428,6
429,6
430,8
431,8
432,6
433,6
434,8
435,7
436,7
437,5
438,6
439,8
440,6
441,7
442,7
443,6
444,6
445,6
446,7
447,8
448,5
449,7
450,7
451,7
452,8
453,7
454,7
455,7
456,7
457,6
458,9
459,8
460,8
461,6
462,7
463,10
464,8
465,6
466,7
467,6
468,7
469,6
470,7
471,7
472,6
473,7
474,7
475,5
476,7
